t,status
1780280702.0279,4
1780280702.0289,4
1780280702.03,4
1780280702.031,4
1780280702.032,4
1780280702.033,4
1780280702.0339,4
1780280702.0349,4
1780280702.0359,4
1780280702.0369,4
1780280702.038,4
1780280702.039,4
1780280702.04,4
1780280702.041,4
1780280702.0419,4
1780280702.0429,4
1780280702.0439,4
1780280702.0449,4
1780280702.046,4
1780280702.047,4
1780280702.048,4
1780280702.049,4
1780280702.05,4
1780280702.0509,4
1780280702.0519,4
1780280702.0529,4
1780280702.0539,4
1780280702.055,4
1780280702.056,4
1780280702.057,4
1780280702.058,4
1780280702.0589,4
1780280702.0599,4
1780280702.0609,4
1780280702.0619,4
1780280702.063,4
1780280702.064,4
1780280702.065,4
1780280702.066,4
1780280702.0669,4
1780280702.0679,4
1780280702.0689,4
1780280702.0699,4
1780280702.071,4
1780280702.072,4
1780280702.073,4
1780280702.074,4
1780280702.075,4
1780280702.0759,4
1780280702.0769,4
1780280702.0779,4
1780280702.0789,4
1780280702.08,4
1780280702.081,4
1780280702.082,4
1780280702.083,4
1780280702.0839,4
1780280702.0849,4
1780280702.0859,4
1780280702.0869,4
1780280702.088,4
1780280702.089,4
1780280702.09,4
1780280702.091,4
1780280702.0919,4
1780280702.0929,4
1780280702.0939,4
1780280702.0949,4
1780280702.096,4
1780280702.097,4
1780280702.098,4
1780280702.099,4
1780280703.0,4
1780280703.0009,4
1780280703.0019,4
1780280703.0029,4
1780280703.0039,4
1780280703.005,4
1780280703.006,4
1780280703.007,4
1780280703.008,4
1780280703.0089,4
1780280703.0099,4
1780280703.0109,4
1780280703.0119,4
1780280703.013,4
1780280703.014,4
1780280703.015,4
1780280703.016,4
1780280703.0169,4
1780280703.0179,4
1780280703.0189,4
1780280703.0199,4
1780280703.021,4
1780280703.022,4
1780280703.023,4
1780280703.024,4
1780280703.025,4
1780280703.0259,4
1780280703.0269,4
1780280703.0279,4
1780280703.0289,4
1780280703.03,4
1780280703.031,4
1780280703.032,4
1780280703.033,4
1780280703.0339,4
1780280703.0349,4
1780280703.0359,4
1780280703.0369,4
1780280703.038,4
1780280703.039,4
1780280703.04,4
1780280703.041,4
1780280703.0419,4
1780280703.0429,4
1780280703.0439,4
1780280703.0449,4
1780280703.046,4
1780280703.047,4
1780280703.048,4
1780280703.049,4
1780280703.05,4
1780280703.0509,4
1780280703.0519,4
1780280703.0529,4
1780280703.0539,4
1780280703.055,4
1780280703.056,4
1780280703.057,4
1780280703.058,4
1780280703.0589,4
1780280703.0599,4
1780280703.0609,4
1780280703.0619,4
1780280703.063,4
1780280703.064,4
1780280703.065,4
1780280703.066,4
1780280703.0669,4
1780280703.0679,4
1780280703.0689,4
1780280703.0699,4
